id,user_name,age,gender,country,platform,rating,language,review_text
1,Hans-Jürgen S.,62,Male,Germany,Google Reviews,5,DE,"Habe kurzfristig eine Startzeit für Alcanada gesucht. Die Webseite ist extrem übersichtlich und der Buchungsvorgang war in 2 Minuten erledigt. Bestpreis garantiert! Sehr zu empfehlen."
2,Mark T.,45,Male,UK,Google Reviews,5,EN,"Brilliant interface. Usually, booking golf abroad is a headache, but this was as easy as ordering a pizza. Got a great deal on a twilight round at Son Gual."
3,Roberto P.,38,Male,Italy,Google Reviews,5,IT,"Processo di prenotazione fantastico. Ho trovato subito il campo che cercavo a Maiorca. Prezzi molto competitivi rispetto ad altri siti."
4,Erik B.,51,Male,Norway,Google Reviews,5,NO,"Veldig enkel og grei bestilling. Fantastisk utvalg av baner. Kommer definitivt til å bruke Greenfee365 igjen neste gang vi skal til Spania."
5,Sarah L.,29,Female,US,Google Reviews,5,EN,"User interface is 10/10. Super sleek and mobile-friendly. Booked my entire week of golf in Mallorca while waiting for my flight at the gate!"
6,Jean-Pierre D.,68,Male,France,Google Reviews,5,FR,"Très efficace. J'ai eu un petit doute sur l'horaire et le service client a répondu immédiatement. Un inventaire impressionnant de parcours."
7,Klaus M.,55,Male,Switzerland,Google Reviews,5,DE,"Reibungslose Abwicklung. Die Bestätigung kam sofort aufs Handy. Die Auswahl an Plätzen auf Mallorca ist unschlagbar."
8,Anders G.,42,Male,Sweden,Google Reviews,5,SV,"Smidigaste bokningstjänsten jag testat. Bra priser och tydlig information om banorna."
9,David W.,55,Male,UK,Trustpilot,5,EN,"I've used several booking sites, but Greenfee365 is the most intuitive. The 'Golf in Mallorca' portal is specifically great because it shows real-time availability."
10,Stefan R.,34,Male,Germany,Trustpilot,5,DE,"Hervorragende Plattform. Die Preise sind oft besser als direkt beim Club. Man merkt, dass hier Profis am Werk sind."
11,James P.,50,Male,US,Trustpilot,5,EN,"Not just Mallorca! I started using them for my local rounds too. The ease of use is consistent across the board."
12,Luca M.,44,Male,Italy,Trustpilot,5,IT,"Prenotazione istantanea. Nessun problema al check-in nel club. Servizio eccellente."
13,Olav H.,65,Male,Norway,Trustpilot,5,NO,"Veldig fornøyd. Bruker alltid denne siden når jeg reiser. De har de beste prisene på de mest populære banene."
14,Thomas B.,41,Male,UK,TripAdvisor,5,EN,"A must-use for golfers visiting Mallorca. We booked 4 different courses through this site. The map view helped us pick courses near our hotel."
15,Magnus K.,37,Male,Sweden,TripAdvisor,5,SV,"Perfekt för semestern. Allt fungerade klockrent, från betalning till spel. Rekommenderas varmt till alla golfare."
16,Dieter L.,70,Male,Germany,TripAdvisor,5,DE,"Einfacher geht es nicht. Auch in meinem Alter ist die Seite sehr leicht zu bedienen. Wir hatten eine wunderbare Woche auf Mallorca."
17,Michel R.,59,Male,France,TripAdvisor,5,FR,"Un choix incroyable de parcours. Le site est clair et les tarifs sont attractifs. Bravo pour la simplicité."
18,Christian H.,33,Male,Switzerland,Capterra,5,EN,"The UX/UI is miles ahead of the competition. Fast loading times and a logical checkout flow."
19,Markus W.,46,Male,Germany,G2,5,DE,"Beste API-Integration, die ich bisher bei Buchungsplattformen gesehen habe. Die Bestätigungen sind quasi instantan."
20,Robert F.,28,Male,US,Capterra,5,EN,"Clean, modern, and does exactly what it says. It eliminates the friction of calling pro shops in different time zones."
21,Peter S.,48,Male,UK,Yelp,5,EN,"Great prices! Saved about 20% on my green fees this trip compared to last year. The site is super straightforward."
22,Alessandro V.,52,Male,Italy,Angi,5,IT,"Servizio clienti top. Ho dovuto spostare un tee time e lo hanno fatto senza problemi. Gentili e professionali."
23,Fredrik T.,39,Male,Norway,Yelp,5,NO,"Beste prisene på nettet. Veldig imponert over hvor mange baner de har tilgjengelig over hele verden."
24,Johan L.,44,Male,Sweden,Angi,5,SV,"Grym sida! Snabbt, enkelt och billigt. Kommer aldrig boka på något annat sätt igen."
25,Kevin J.,31,Male,US,Product Hunt,5,EN,"Finally, a booking platform that feels like it belongs in 2026. The search filters are excellent."
26,Tim O.,27,Male,Germany,Product Hunt,5,DE,"Love the design and the 'ease-of-booking' factor. It's the 'Booking.com' for golf."
27,Luc B.,40,Male,France,Google Reviews,5,FR,"Rapide, efficace, et les meilleurs prix. Top !"
28,Gary M.,56,Male,UK,Google Reviews,5,EN,"Best inventory of courses in Mallorca. Seamless booking."
29,Bernd G.,63,Male,Germany,Google Reviews,5,DE,"Einfach klasse. Startzeit wählen, bezahlen, fertig."
30,Fabio C.,47,Male,Italy,Google Reviews,5,IT,"Prezzi imbattibili e sito facilissimo da usare."
31,Sven R.,58,Male,Sweden,Google Reviews,5,SV,"Världsklass! Enkelheten är nyckeln här."
32,Lars P.,35,Male,Norway,Google Reviews,5,NO,"Fantastisk plattform. Sparer tid og penger."
33,William D.,60,Male,US,Google Reviews,5,EN,"Great experience. Tons of options worldwide. 5 stars."
34,Holger K.,49,Male,Switzerland,Google Reviews,5,DE,"Sehr benutzerfreundlich. Alles auf einen Blick."
35,Richard H.,53,Male,UK,Google Reviews,5,EN,"Found a hidden gem course through the site. Amazing selection!"
